"tag","patterns__-","responses__-","context__-"
"Insurance","Does this the Revive Policy for Personal Accident have hospital cash benefit","Yes, hospital cash provides a benefit of Rs. 250 every day up to a maximum of 30 days in case of hospitalization due to an accident.",""
"Insurance","What do you mean by exclusions under the Revive Policy for Personal Accident","Exclusions are situations or conditions where in HDFC ERGO is not liable to pay the benefits to the insured person in the event of an accident.",""
"Insurance","How many members can be included under the Family Plan of the Revive Policy for Personal Accident","You can include your spouse and up to 2 children under the Family Plan.",""
"Insurance","Is there an age limit to opt for a Revive Policy for Personal Accident","A Revive Policy is open to anyone between the age of 18 and 65 years.",""
"Insurance","Why should I purchase Critical Illness Insurance","Critical Illness Insurance provides you and your family with additional financial security on the diagnosis of a critical illness. The policy provides a lump sum amount which could be used for: Cost of care and treatment Recuperation aids Pay off of debts Any loss in income owing to a decrease in ability to earn View more",""
"Insurance","What is Critical Illness Insurance","Critical Illness Insurance is a policy that pays out a lump sum amount up to the sum insured upon diagnosis of a critical illness covered under the policy.",""
"Insurance","Can I make multiple claims for the same or any other listed Critical Illness","No, you can make only one claim during the lifetime of the policy.",""
"Insurance","What is meant by disease under the Critical Illness - Platinum Plan","Disease is a pathological condition of a part, organ or system resulting from various causes such as infection, pathological process or environmental stress and characterized by an identifiable group of signs or symptoms.",""
"Insurance","What are the available plans under the Critical Illness policy","You can choose to be insured for any of the following amounts: Rs. 2,50,000, Rs. 5,00,000, Rs.7,50,000 or Rs. 10,00,000.",""
"Insurance","Who do I contact in the case of a claim under the Critical Illness policy","In the case of a claim under the policy, you should immediately intimate us on our helpline number. On receipt of the intimation, we will register the claim and assign a unique claim reference number which will be communicated to the insured and may be used for all future correspondence.",""
"Insurance","What are the benefits under  the Critical Illness - Platinum Plan","The company will pay the sum insured as a lump sum on the first diagnosis of any one of the following critical illnesses, provided that the insured person survives a period of 30 days from the date of the first diagnosis. The following critical illnesses are covered under our plan: Heart Attack (Myocardial Infarction ) Coronary Artery Bypass Surgery Stroke Cancer Kidney Failure Major Organ Transplant Multiple Sclerosis Paralysis View more",""
"Insurance","What is a Benefit Policy","Under a Benefit Policy the insurance company pays the policy holder a lump sum amount, on the occurrence of an insured event.",""
"Insurance","What are the medical tests that I need to undergo to enrol myself for the  - Platinum Plan policy","No pre-policy medical check up is required for individuals up to the age of 45 years.",""
"Insurance","What documents are required at the time of a claim","The insured shall arrange for submission of the following documents required to process a claim within 45 days from the date of intimation. Duly completed claim form Original discharge summary Consultation note/ relevant treatment papers All relevant medical reports along with supporting invoices and doctors requisition advising the same Original and final hospitalization bills with detailed break-up Pharmacy Bills along with prescriptions Any other documents as may be required by the company On receipt of the claim documents the claim will be processed in accordance with the terms and conditions of the policy. View more",""
"Insurance","How do I make a claim under the Accidental Protection Plan - Hospital Cash policy","You can make a claim by calling our toll-free number 1800-226-226 (MTNL or BSNL) or 1800-2-700-700 (Any Line) or 022 6638 4800 (Local/STD charges apply). We will then assist you with the submission of the required documents and the process will be completed within 7 working days, once all the required documents are submitted.",""
"Insurance","What do you mean by pre-existing diseases not covered under the Critical Illness plan","A pre-existing disease is any condition, ailment, injury or related condition for which the insured person had signs or symptoms and/or was diagnosed and/or received medical advice or treatment prior to the first policy with the company",""
"Insurance","Is there any tax exemption under the Health Suraksha policy","Yes, you can avail up to Rs. 15,000 as tax benefit under 'Section 80D'. In case you are a senior citizen, you can avail up to Rs. 20,000 as tax benefit under 'Section 80D'. Subject to changes in Tax laws",""
"Insurance","Is there any eligibility criterion to purchase this the Critical Illness policy","A Critical Illness policy covers individuals in the age group of 5 years to 45 years. Children between 5 years and 18 years will be covered only when both the parents are also insured under the policy.",""
"Insurance","What is meant by disease under the Critical Illness - Platinum Plan","Disease is a pathological condition of a part, organ or system resulting from various causes such as infection, pathological process or environmental stress and characterized by an identifiable group of signs or symptoms.",""
"Insurance","Can I make multiple claims for the same or any other listed Critical Illness","No, you can make only one claim during the lifetime of the policy.",""
"Insurance","Are there any eligibility criteria to purchase this the Critical Illness - Platinum Plan ","A Critical Illness policy covers individuals in the age group of 5 years to 45 years. Children between 5 and 18 years will be covered only if both parents are also insured under the policy.",""
"Insurance","What is Critical Illness insurance","Critical Illness insurance is a policy that pays out a lump sum under ‘Section 80D’. In the case of senior citizens you can avail up to Rs. 20,000 as tax benefit under ‘Section 80D’.",""
"Insurance","Why should I buy Critical Illness insurance","Critical Illness insurance provides you and your family additional financial security on the diagnosis of a critical illness. The policy provides a lump sum amount which could be used for: Cost of care and treatment Recuperation aid Debts pay off Any lost in income due to a decrease in ability to work View more",""
"Insurance","How do I make a claim under the Accidental Protection Plan - Hospital Cash policy","You can make a claim by calling our toll-free number 1800-226-226 (MTNL or BSNL) or 1800-2-700-700 (Any Line) or 022 6638 4800 (Local/STD charges apply). We will then assist you with the submission of the required documents and the process will be completed within 7 working days, once all the required documents are submitted.",""
"Insurance","What documents are required at the time of a claim","The insured shall arrange for submission of the following documents required to process a claim within 45 days from the date of intimation. Duly completed claim form Original discharge summary Consultation note/ relevant treatment papers All relevant medical reports along with supporting invoices and doctors requisition advising the same Original and final hospitalization bills with detailed break-up Pharmacy Bills along with prescriptions Any other documents as may be required by the company On receipt of the claim documents the claim will be processed in accordance with the terms and conditions of the policy. View more",""
"Insurance","Who do I contact in the case of a claim under the Critical Illness - Platinum Plan","In the case of a claim under the policy, you should immediately intimate us on our helpline numbers.",""
"Insurance","What are the medical tests that I need to undergo to enrol myself for the  - Platinum Plan policy","No pre-policy medical check up is required for individuals up to the age of 45 years.",""
"Insurance","Why should I buy Critical Illness insurance","Critical Illness insurance provides you and your family additional financial security on the diagnosis of a critical illness. The policy provides a lump sum amount which could be used for: Cost of care and treatment Recuperation aid Debts pay off Any lost in income due to a decrease in ability to work View more",""
"Insurance","What are the benefits under  the Critical Illness - Platinum Plan","The company will pay the sum insured as a lump sum on the first diagnosis of any one of the following critical illnesses, provided that the insured person survives a period of 30 days from the date of the first diagnosis. The following critical illnesses are covered under our plan: Heart Attack (Myocardial Infarction ) Coronary Artery Bypass Surgery Stroke Cancer Kidney Failure Major Organ Transplant Multiple Sclerosis Paralysis View more",""
"Insurance","Is there any tax exemption under the Health Suraksha policy","Yes, you can avail up to Rs. 15,000 as tax benefit under 'Section 80D'. In case you are a senior citizen, you can avail up to Rs. 20,000 as tax benefit under 'Section 80D'. Subject to changes in Tax laws",""
"Insurance","What do you mean by pre-existing diseases not covered under the Critical Illness - Platinum plan","A pre-existing disease is any condition, ailment, injury or related condition for which the insured person had signs or symptoms and/or was diagnosed and/or received medical advice or treatment prior to the first policy with the company.",""
"Insurance","What is cumulative bonus","Cumulative bonus is an increase in the sum insured by a specified percentage of every claim free year subject to a certain maximum, provided that the policy is renewed without any break. Under the Health Suraksha policy, you can avail a 5% cumulative bonus for every claim free year upto 50% of SI..",""
"Insurance","What is meant by Day Care Procedures","Day Care Procedures are the medical procedures/surgeries wherein the person does not need to be hospitalised for more than 24 hours due to technological advancement.",""
"Insurance","What are Pre and Post hospitalisation expenses","Pre-hospitalisation expenses means medical expenses incurred for a specified number of days prior to hospitalisation for any disease, illness or injury sustained which is covered under the Policy. Post-hospitalisation expenses means medical expenses incurred for a specified number of days after discharge from the hospital. In 'Health Suraksha' the pre-hospitalisation period is 60 days while the post-hospitalisation period is 90 days.",""
"Insurance","What are the benefits of a health card","A health card mentions the contact details and contact numbers of the TPA. In case of a medical emergency, you can call these numbers for queries, clarifications or to seek any kind of assistance. Moreover, you need to display your health card at the time of admission into the hospital.",""
"Insurance","Do I need to pay for hospitalisation","If you are admitted in any of our network hospitals, you can avail a cashless facility. We will directly reimburse all the admissible expenses to the hospital. However, in case of non-network hospitals you will have to settle hospital bills at the time of discharge and consequently, the same will be reimbursed to you by us.",""
"Insurance","What are the medical tests that I need to undergo to enrol myself for  the Critical Illness policy","No pre-policy medical check up is required for anyone up to the age of 45 years.",""
"Insurance","What is Family Floater and what are its features","Family Floater is a policy wherein the entire family of the insured comprising of the insured and his/her dependents, are covered under a single sum insured. The advantages of such a policy are: All member of the family (as defined above) can be covered under one policy. A Single Premium is payable for the entire family The amount of the sum insured floats over the entire family, i.e. the limit can be used by any member of the family, any number of times. You do not have to keep track of renewals for different members. Just a single renewal date has to be remembered. View more",""
"Insurance","What is meant by disease","Disease means a pathological condition of a part, organ or system resulting from various causes such as infection, pathological process or environmental stress and characterised by an identifiable group of signs or symptoms.",""
"Insurance","What are domiciliary hospitalisation expenses under the Health Suraksha policy","Domiciliary hospitalisation means medical treatment for a period exceeding 3 days for such illness, disease or injury which in the normal course would require care and treatment at a hospital/nursing home but is actually taken while confined at home in India, but only under the following circumstances: The condition of the patient is such that he/she cannot be taken to the hospital/nursing home The patient cannot be taken to the hospital/nursing home as a result of lack of accommodation therein View more",""
"Insurance","How do I make a claim under the Accidental Protection Plan - Hospital Cash policy","You can make a claim by calling our toll-free number 1800-226-226 (MTNL or BSNL) or 1800-2-700-700 (Any Line) or 022 6638 4800 (Local/STD charges apply). We will then assist you with the submission of the required documents and the process will be completed within 7 working days, once all the required documents are submitted.",""
"Insurance","What is meant by Network Hospitals","These are hospitals that form part of the company's network (part of the company's tie-up list). For a complete list of network hospitals, log on to our website www.hdfcergo.com",""
"Insurance","Are there any special discounts available under the Health Suraksha policy","The policy provides a family discount of 10%, if 3 or more family members are covered under a single policy on an individual sum insured basis.",""
"Insurance","What do you mean by pre-existing diseases","Any condition, ailment, injury of related condition(s) for which the insured person has had signs or symptoms and/or was diagnosed and/or has received medical advice/treatment within 48 months prior to the insured’s first policy with the company.",""
"Insurance","What is a hospital/nursing home","A hospital/nursing home means an establishment which: is registered as such with a local authority and is under the supervision of a registered and qualified Medical Practitioner and operates for the reception, care and treatment of sick, ailing or injured persons as inpatients provides organized facilities for diagnosis and medical and surgical treatment at all times; and is not primarily a day clinic, rest or convalescent home or similar establishment and is not, other than incidentally, a place for the treatment of alcoholics or drug addicts or a rehabilitation centre;OR has a fully equipped operation theatre of its own wherever surgical operations are carried out provides nursing care and has a physician or a staff of physicians actually on the premises at all times at least 10 in-patient beds at all times View more",""
"Insurance","Are all Health Suraksha policy holders eligible for a health card","Yes, all policy holders are eligible for a health card as it is an important component of the policy.",""
"Insurance","Why do I need health insurance","Health Insurance will protect you and your family against any financial contingency arising due to a medical emergency.",""
"Insurance","What is covered under the Ayush benefit","Under the Ayush benefit expenses are reimbursed for in-patient treatment taken under Ayurveda, Unani, Sidha or Homeopathy.",""
"Insurance","What are the benefits under  the Health Suraksha policy","Health Suraksha offers optimum health coverage at affordable prices. The plan not only covers hospitalisation expenses due to accidents or illness but also extends to cover pre and post hospitalisation expenses, day care procedures, domiciliary treatment, organ donor expenses, emergency ambulance and ayush benefit.",""
"Insurance","What is an injury or injuries","Injury or injuries means any physical, external or accidental bodily injury occurring suddenly in time and resulting solely and independently of any other cause or any physical defect or infirmity existing before the period of insurance.",""
"Insurance","What is meant by non-network hospitals","These hospitals do not form part of the company’s tie-up list. The bills are settled by the Insured and the relevant documents and bills are subsequently submitted to the TPA. The amount consequently, is reimbursed to the insured.",""
"Insurance","What is meant by Organ Donor Expense","Organ Donor Expenses are all the hospitalisation expenses incurred by the donor for the donation of an organ (excluding the cost of the organ) to the insured during the course of an organ transplant.",""
"Insurance","What do you mean by pre-existing diseases","Any condition, ailment, injury of related condition(s) for which the insured person has had signs or symptoms and/or was diagnosed and/or has received medical advice/treatment within 48 months prior to the insured’s first policy with the company.",""
"Insurance","Who do I contact to submit a claim under Health Suraksha policy in case of hospitalisation","For hospitalization /claim, customer can contact via Call: 1800 200 1999 / 1860 2000 700 Fax: 1860 2000 600 Email: [email protected] Through IPO: Login to Insurance Portfolio Organizer (IPO) from HDFC Ergo website home page",""
"Insurance","Is there any tax exemption under the Health Suraksha policy","Yes, you can avail up to Rs. 15,000 as tax benefit under 'Section 80D'. In case you are a senior citizen, you can avail up to Rs. 20,000 as tax benefit under 'Section 80D'. Subject to changes in Tax laws",""
"Insurance","What are the plans available under this policy","You can insure yourself for Rs. 3 Lakhs, Rs. 4 Lakhs or Rs. 5 Lakhs. You can choose from any of the four plans mentioned below: 1 Adult 2 Adults 2 Adults and 1 Child 2 Adults and 2 Children The policy offers the option to cover on an individual sum insured basis or a family floater basis. View more",""
"Insurance","Is there any eligibility criterion to purchase this the Health Suraksha policy","A Health Suraksha policy is open to individuals from the age of 3 months to 65 years. There is no entry age limit unlike other policies",""
"Insurance","What is the benefit of broken bones under this policy","Pays 10 % of Sum Insured upto 50,000(for dependent parents), if an accident results in broken bones",""
"Insurance","How do I make a claim","You can make a claim by calling our Toll free number 1800-226-226 (MTNL or BSNL Line) or 1800-2-700-700 (Any Line) or 022 66384800 ( Local / STD charges apply). We will then assist you with the submission of the documents required and the process will be completed within 7 working days, once all the required documents are submitted.",""
"Insurance","How do I renew my policy","We will send you renewal reminders. The number of days advance reminder depends upon the pay plan opted for.Payplansbreakup : Cheque-45daysCredit Card – 60 days",""
"Insurance","Will my accident policy cover me even if I am out of the country","Yes the accident policy will cover you even if you are out of the country. The sum insured will be paid to you in Indian Rupees in case of a claim i.e. the claim will be paid out in India only",""
"Insurance","Does this policy have hospital cash benefit","Yes, depending on the plan selected hospital cash provides a benefit up to Rs. 500 everyday upto a maximum of 45 days in case of hospitalization due to an accident.",""
"Insurance","Does this policy cover natural death and daily sickness also ","This policy only covers accidental death.",""
"Insurance","What is the definition of a dependent child","Dependent child means an unmarried dependent child residing with the insured person between the age of 3 months and up to 18 years or up to the age of 21 if in full time education.",""
"Insurance","Who can be the beneficiary","The beneficiary could be any member of your family.",""
"Insurance","How many members can be included under the Family Plan","You can include your spouse as well as two dependent children under the Family Plan.",""
"Insurance","What kind of documentation is required","The best part of this policy is that it has hassle free documentation. All you need to do is fill the complete proposal form with relevant details and sign it .Tick any one plan and attach a cheque or fill the credit card details in the form.",""
"Insurance","What do you mean by exclusions","Exclusions are situations or conditions where in HDFC ERGO is not liable to pay the benefits to the insured person in the event of an accident.",""
"Insurance","When does my policy start","This will be commenced within 15 days from the date of receipt of form & premium payment",""
"Insurance","Is there an age limit for opting Individual Personal Accident Plan 2 policy","It is open to everyone from the age of 18 years to 65 years.",""
"Insurance","What are the benefits payable under this policy","Now you can protect your entire family with Individual Personal Accident Plan 2 against accidental injuries. The policy provides the benefits to you and your family, for Accidental Death, Permanent Disability, Broken Bones, Burns due to an accident. It also provides benefit of Ambulance cost and hospital cash.",""
"Insurance","How do I make my premium payments","This is an annual policy, where the premium can be made via Credit Card or Cheque",""
"Insurance","Can I include my parents in this policy","Yes, you can include your dependent parents up to 70 years. The plan provides add on benefits for your dependent parents with an affordable flat rate. Now you can give back a small measure of the love and concern they showed for you.",""
"Insurance","What kind of benefits is my spouse and children entitled to","100% of the sum insured in case of accidental death, permanent disability, broken bones, burns,Hospital cash of the spouse & 10% of the sum insured in case of accidental death or permanent disability of the children.",""
"Insurance","What are the available plans with under this policy","HDFC ERGO offers you a wide range of Sum Insured, from Rs. 2.5 lakh to 15 lakh with four plan options to choose.Self PlanSelf & Family PlanSelf + Dependent Parents Add-onSelf & Family Plan + Dependent Parents Add-on",""
"Insurance","Will I get a renewed policy","Yes, you shall receive the renewed policy",""
"Insurance","What is the Cancellation procedure","The policy can be cancelled with a notice period of 30 days. The premium paid by you will be returned on a pro-rata basis or 25% of the annual premium whichever is higher would be retained. Any cancellation request sent after 30 days of the commencement of the policy will be refunded on pro - rata basis.",""
"Insurance","How do I make my premium payments","This is an annual policy, where the premium can be made online via Credit Card/Netbanking or Cheque",""
"Insurance","What is an accident","Accident or Accidental means a sudden, unforeseen and involuntary event caused by external, visible & violent means",""
"Insurance","Can I include my parents in this policy","Yes, you can include your dependent parents up to 65 years. The plan provides add on benefits for your dependent parents with an affordable flat rate. Now you can give back a small measure of the love and concern they showed for you.",""
"Insurance","How do I renew my policy","We will send you renewal reminders. The number of days advance reminder depends upon the pay plan opted for. Payplansbreakup : Cheque-45days Credit Card – 60 days",""
"Security","Do I need to enter ‘#’ after keying in my Card number/ Card expiry date/ CVV number","Please listen to the recorded message and follow the instructions while entering your card details.",""
"Security","What details are required when I want to perform a secure IVR transaction","To perform a secure IVR transaction, you will need your 16-digit Card number, Card expiry date, CVV number, mobile number and IVR password.",""
"Security","How should I get the IVR Password  if I hold an add-on card","An IVR password can be requested only from the registered mobile number and will be sent to the registered mobile number / email ID of the primary card holder only.",""
"Security","How do I register my Mobile number for IVR Password ","Please call our Customer Service Centre and ensure that your mobile number is updated in our records.",""
"Security","How can I obtain an IVR Password ","By Sending SMS request: Send an SMS 'PWD<space>1234' to 9717465555 or to 5676712 from your registered (with Bank) mobile number.(Note: 1234 are the last 4 digits of your HDFC Bank Credit Card number). You will receive an SMS with the IVR password on the same number. From HDFC Bank Website: If you have registered your card for NetSafe/ Verified by Visa/ MasterCard SecureCode, you can also login in to your NetSafe/ Verified by Visa/ MasterCard SecureCode account and use the Generate IVR Password option available on the left menu. The IVR password will be sent to your registered mobile number and email ID. These are the most convenient and recommended options. To ensure convenience, make a note of the IVR password and keep it handy while performing the transaction. Note: Kindly ensure that your latest mobile number and email ID is updated with us. Premium SMS charges as per your mobile service provider will apply for an SMS sent to 5676712 View more",""
"Security","Can I use the same IVR Password  to perform multiple transactions","No, each IVR password can be used only for a maximum of 3 attempts (including decline attempts) within the specified validity period. For further transaction attempts, a new IVR password must be generated.",""
"Security","Can I generate multiple IVR Passwords","No, only one IVR password can be generated at a time. Only when the first one is used / expires, can the next IVR password be generated.",""
"Security","How do I register for IVR password","There is no registration process. However you will have to obtain a 3D Secure IVR password to perform a secure IVR transaction by sending an SMS prior to the transaction or through NetSafe/ Verified by Visa/ MasterCard SecureCode login account (as mentioned above).",""
"Security","What is IVR Password and how does it work","To make telephonic (IVR) transactions more secure, all purchases/payments to merchants that you make using your mobile or telephone need to be authenticated with an additional password. While making an IVR transaction, you will be prompted to enter the IVR password after you enter the Card number, Card expiry date and the CVV number. If you fail to enter the IVR password, the transaction will be declined. View more",""
"Security","In how much time will the IVR Password be delivered to my mobile phone/email ID","IVR 3D Secure password is delivered instantly. It takes less than a minute. However, network congestion could cause delay.",""
"Security","Can the OTP be generated prior to the transaction","No, OTP can be generated only during the transactions.",""
"Security","Can I continue using the Verified by Visa/MasterCard SecureCode/Protectbuy password for online transactions","Yes, you can continue using your secure password, OTP is an additional option provided for checkout.",""
"Security","On which mobile number will I receive the OTP","OTP will be sent to the registered mobile number (updated in Credit card system).",""
"Security","Is it necessary to register the card for an OTP transaction","Prior registration is not necessary for an OTP transaction.",""
"Security","Is this option available on all the online transactions","This option is available on all websites which are participating in the VBV/MSC/Portectbuy secure transaction protocol.",""
"Security","Can the OTP be used for multiple online transactions","OTP can be used only for a single online transaction.",""
"Security","How will the OTP be sent to the customers","OTP will be sent only via SMS to the customers' registered mobile number.",""
"Security","What is the validity period of the OTP","OTP is valid for a period of only 3 minutes.",""
"Security","What happens if I shop at a Verified by Visa/ MasterCard SecureCode merchant website while I'm not registered for this feature","You will be prompted for online registration for Verified by Visa/ MasterCard SecureCode through a pop-up screen. You will need to authenticate yourself with your Credit/Debit Card number, Card expiry date and ATM PIN (or CVV2 and Date of birth for Credit Cards, along with your mobile number and email ID). For Debit Cards, you can choose your password to be used for Verified by Visa/ MasterCard SecureCode. For Credit Cards, a One Time Password one will be sent to your email ID instantly, which has to be used to complete the registration process. Thereafter, you can continue shopping on the merchant website. If you decide not to register immediately and cancel the pop-up screen, your transaction will not get authorized and you would not be able to complete the transaction on such websites. Therefore, it is strongly recommended that you don’t cancel the pop-up screen and register for Verified by Visa/ MasterCard SecureCode as it protects you from online frauds. View more",""
"Security","Where can I shop with Verified by Visa","You can shop at participating online stores that have the Verified by Visa/ MasterCard SecureCode mark.",""
"Security","How will the online store know that I have Verified by Visa/ MasterCard SecureCode","The participating online stores will automatically recognize your Visa card number if you have registered it for Verified by Visa and a pop-up will be shown asking for your Verified by Visa password.",""
"Security","How can I register / re-set password for VBV/MSC if my mobile number/ email ID is not updated in the bank's records","You will have to first have to get the details updated in our system by calling our Customer Care Centre and register after 1 working day. It is mandatory to have at least one email ID and one mobile number registered. The same will apply if there is a recent change in your mobile number or email ID.",""
"Security","Once I have registered, how long does it take for Verified by Visa / MasterCard SecureCode to become active for my card","The Verified by Visa / MasterCard SecureCode gets activated for your HDFC Bank Card as soon as your registration is successful. You can start shopping at participating stores once you are registered with the added security of Verified by Visa/MasterCard SecureCode.",""
"Security","What will happen if I try to register again & generate an OTP within 2 hours","You will get a pop-up message stating Your earlier request is being processed. If you do not receive your OTP within 2 hours, please try again later. Only on expiry of the OTP generated through an earlier request, you can register again to generate a new OTP.",""
"Security","If my account is blocked, how do I unblock it","If your account gets blocked, please contact your nearest Customer Call Centre (for Credit Cards) and PhoneBanking centre (for Debit Cards).",""
"Security","How do I use Verified by Visa / MasterCard SecureCode when I shop online, once I’m registered","Once you have registered, you can use Verified by Visa/ MasterCard SecureCode service right away on participating merchant sites. For a full listing of these merchants, please visit your local Visa/ MasterCard website or www.visa-asia.com/verified/ or www.mastercard.com/securecode You will also find the Verified by Visa/ MasterCard SecureCode online shopping demo on these websites. View more",""
"Security","How does Verified by Visa/ MasterCard SecureCode work","Verified by Visa/ MasterCard SecureCode provides you with a Password/ SecureCode that protects your online transactions, just like the way you use your PIN at an ATM. All you need to do is follow the simple steps: Select the goods and services you want from the Verified by Visa (VBV) / SecureCode merchant site and proceed to the payment page. Enter your HDFC Bank Debit/ Credit Card number and the online store will connect with HDFC Bank to check whether your Card is secured with Verified by Visa/ MasterCard SecureCode. HDFC Bank initiates a Verified by Visa/ MasterCard SecureCode pop-up window on your computer screen that includes your Personal Assurance Message (PAM) or Personal Greeting message. Look for and confirm your PAM/ Personal Greeting then enter your password. HDFC Bank will then confirm your identity to the merchant. Your payment is authorized and your order is placed. View more",""
"Security","I suspect someone has stolen my password or used it to make fraudulent purchases. What should I do","If you suspect any fraudulent activities, contact HDFC Bank immediately at your nearest customer Call Centre (for Credit Cards) or PhoneBanking Centre (for Debit Cards) and report the loss.",""
"Security","My spouse and I both have the same card number. How does Verified by Visa/ MasterCard SecureCode work for both of us","Verified by Visa / MasterCard SecureCode will still work for both of you. You will only need to register the primary card.",""
"Security","What is Verified by Visa/MasterCard SecureCode","Verified by Visa/ MasterCard SecureCode is a service that lets you use a personal password/ SecureCode with your HDFC Bank card. This SecureCode gives you added assurance that only you can use your HDFC Bank Card to make purchases over the Internet. Just turn on your computer, connect to the Internet and pull out your HDFC Bank Card. You don't need any special software. Use Verified by Visa/ MasterCard SecureCode as easily as you use your PIN at an ATM. View more",""
"Security","How do I register my HDFC Bank Card","You can register your HDFC Bank Card through the HDFC Bank Website or through any participating online shopping site when prompted for registration.",""
"Security","Can I register for Verified by Visa/MasterCard SecureCode with my existing HDFC Bank Card or do I need to apply for a new one","Yes, you can register with any of your HDFC Bank Cards to be protected by Verified by Visa/ MasterCard SecureCode. You don’t need to apply for a new HDFC Bank Card.",""
"Security","Can I register more than one HDFC Bank Credit/ Debit Card","Yes, you can register all of your HDFC Bank Credit and Debit Cards for Verified by Visa/MasterCard SecureCode.",""
"Security","If I have just received a renewed card, do I need to re-register","No, you do not have to re-register your renewed card since the card number remains the same. You need to re-register only if your card number has changed due to card replacement/ re-issue/ upgrade.",""
"Security","Can I register my non-Visa payment Cards with Verified by Visa and non- MasterCard payment Cards with MasterCard SecureCode","Currently, Verified by Visa is only offered to protect Visa Cards and MasterCard SecureCode to protect MasterCard Cards.",""
"Security","Can I use Verified by Visa/ MasterCard SecureCode from any other computer","Yes, you can use Verified by Visa/ MasterCard SecureCode from any computer that has an Internet connection and Internet Explorer, 5.0 and above or Mozilla Firefox 1.5 and above or Netscape Navigator 8.1 and above.",""
"Security","Do I need any special equipment or software on my computer","No. All you need is an Internet connection and Internet Explorer 5.0 and above or Mozilla Firefox 1.5 and above or Netscape Navigator 8.1 and above. Find out if you browser is compatible by going to the Help menu on the upper right-hand side of your browser and select the About option. It will tell you what version is installed on your computer.",""
"Security","What is a Personal Assurance Message or Personal Greeting","When you register for Verified by Visa/ MasterCard SecureCode, you are asked to create a Personal Assurance Message/ Personal Greeting. So when you pay online, always look for your Personal Assurance Message/ Personal Message to ensure that HDFC Bank is authenticating you. View more",""
"Security","How can I register for VBV/SC if my mobile number / Email ID is not updated in my Credit Card records with the Bank","You will have to first have the details updated in our system by calling our Customer Care Centre, and attempt to register later. The same will apply if there is a recent change in your mobile number.",""
"Security","How long does it take for the IVR Password  to get delivered using Verified by Visa/Mastercard Secure Code","The IVR Password will get delivered instantly, in less than a minute. Please ensure that you also check your Spam, Junk and all other folders for the IVR Password mailer from HDFC Bank.",""
